ID;L - HOMO;L - LUMO;L - Q(L);L2Ni - A(L,Ni,L);L2Ni - BO(Ni,L);L2Ni - Bur_V;L2Ni - HOMO;L2Ni - LUMO;L2Ni - Q(Ni);L2Ni - R(Ni,L);L2Ni - Sterimol_B1(Ni,P);L2Ni - Sterimol_B5(Ni,P);L2Ni - Sterimol_L(Ni,P);L2Ni - dQ(L);L2NiX - A(L,Ni,C);L2NiX - A(L,Ni,L);L2NiX - BO(Ni,L);L2NiX - Bur_V;L2NiX - HOMO;L2NiX - LUMO;L2NiX - R(Ni,C);L2NiX - R(Ni,L);L2NiX - SD(L);L2NiX - Sterimol_B1(Ni,C);L2NiX - Sterimol_B1(Ni,P);L2NiX - Sterimol_B5(Ni,C);L2NiX - Sterimol_B5(Ni,P);L2NiX - Sterimol_L(Ni,C);L2NiX - Sterimol_L(Ni,P);L2NiX - dBO(Ni,C);L2NiX - dQ(C);L2NiX - dQ(L);L2NiX - dQ(Ni);L2NiX - dSD(C);L2NiX - dSD(Ni);L2NiX TO L2Ni + X;L2NiX TO L2NiX2 + L2Ni;L2NiX2 - A(C,Ni,C);L2NiX2 - A(L,Ni,L);L2NiX2 - BO(Ni,L);L2NiX2 - Bur_V;L2NiX2 - HOMO;L2NiX2 - LUMO;L2NiX2 - R(Ni,C);L2NiX2 - R(Ni,L);L2NiX2 - Sterimol_B1(Ni,P);L2NiX2 - Sterimol_B5(Ni,P);L2NiX2 - Sterimol_L(Ni,P);L2NiX2 - dBO(Ni,C);L2NiX2 - dQ(L);L2NiX2 - dQ(Ni);L2NiX2 TO L2Ni + X2;Substituent;Backbone
30;-0.19175;-0.08526;1.30489;103.4257138;0.864;56.06049587;-0.13529;-0.07763;-0.24409;2.049794274;3.262038076;7.609403713;7.09252773;0.131885;135.7358268;88.50049319;0.77035;74.93281526;-0.15674;-0.08981;1.961946972;2.205855228;0.079635;1.700000048;3.393360046;3.308030932;7.694796732;7.393233432;7.502256079;0.0964;0.06752;0.29305;-0.81091;0.04015;-0.26369;43.97711896;4.673690563;83.5247017;93.77739947;0.80935;90.16081125;-0.16933;-0.09267;1.912198365;2.158924523;3.36543907;7.732837747;7.919051162;0.04685;0.480625;-1.11743;-11.92958261;OMe;naphthyl
31;-0.19843;-0.09281;1.339125;104.8288607;0.858;62.55582718;-0.14433;-0.08403;-0.1616;2.041165756;3.464797863;8.398335639;8.053000465;0.090095;134.129808;91.15763774;0.7732;88.8868989;-0.16144;-0.09548;1.958549073;2.191618007;0.077425;1.700000048;5.335112565;3.45233904;7.714019489;7.377731576;7.816316938;0.0785;0.0772;0.25266;-0.75809;0.0467;-0.26967;42.88776252;3.552331134;83.84859601;93.59955714;0.81145;92.00155649;-0.17463;-0.09992;1.911569931;2.14686983;3.807750275;8.407168914;8.310036099;0.04015;0.4504;-1.08434;-12.98693607;OPh;naphthyl
32;-0.18088;-0.0801;1.324895;110.5058288;0.8847;70.55308467;-0.12993;-0.07659;-0.32661;2.045932408;4.298186549;7.683977033;7.423379429;0.141645;132.6366476;94.7220018;0.7813;88.2166385;-0.15145;-0.08772;1.971540808;2.1999798;0.078245;1.700000048;4.216081432;3.360384913;7.782708217;7.406834863;7.95747001;0.0774;0.07617;0.299265;-0.86059;0.05079;-0.27579;44.33919193;-1.104416674;83.76350204;94.87298115;0.81155;94.37245473;-0.16699;-0.09158;1.917217338;2.159201905;4.060438914;7.764878271;7.992617265;0.03865;0.48953;-1.14349;-5.427329442;OiPr;naphthyl
33;-0.2108;-0.09807;0.866735;103.1938003;0.7882;65.54889133;-0.14162;-0.08869;0.06764;2.04971451;4.520930028;8.140949705;8.333362446;0.036845;136.0047989;87.98171576;0.6845;83.88068712;-0.16116;-0.09961;1.959842302;2.227002904;0.07063;1.700000048;4.720329526;3.366405338;8.223839572;7.391638091;7.980918835;0.0635;0.07339;0.154215;-0.51016;0.04669;-0.27514;40.9067151;-1.963477144;84.18338159;92.23668799;0.74535;97.80741745;-0.16325;-0.09962;1.904273436;2.182267883;5.073640374;8.468704259;7.869529862;0.0117;0.323295;-0.91267;-11.43322262;C6F5;naphthyl
34;-0.19368;-0.04676;0.783255;158.3684452;0.7612;56.2674901;-0.10229;-0.05816;-0.4032;2.125080764;2.826981821;8.330690907;6.767215838;0.165815;112.287507;121.008102;0.64905;70.86399362;-0.14351;-0.05412;1.982595045;2.277295695;0.017645;1.700000048;2.973881962;3.283171923;8.493448057;7.431383078;7.152530174;0.0467;0.10563;0.18838;-0.53862;0.12291;-0.19978;39.89203228;-9.826170855;171.2398444;157.781544;0.7589;89.16502564;-0.13973;-0.0589;1.937577367;2.170698908;2.847146461;8.371058888;6.804827942;0.05775;0.463885;-0.96575;-5.599894547;Me;xantphos
35;-0.18418;-0.05089;0.779295;158.9630859;0.8022;69.61200566;-0.10207;-0.05848;-0.402;2.127252482;3.717467759;8.299731848;6.711791833;0.166735;108.6801379;141.892589;0.70375;87.0754558;-0.12594;-0.0618;1.984970129;2.251465211;0.038315;1.700000048;3.052575803;3.257407175;8.49133002;7.437328872;7.378045972;0.0137;0.13055;0.20095;-0.60906;0.14311;-0.26535;34.54502406;0.422313875;160.5411486;152.9982107;0.69085;91.91803495;-0.13791;-0.05751;1.932777074;2.239844497;3.370423245;8.411240923;6.849878876;0.03795;0.42984;-0.8473;-26.54239573;i-Pr;xantphos
36;-0.19307;-0.05592;0.81909;133.0185489;0.774;62.66433559;-0.11963;-0.06093;-0.18224;2.112850799;4.048828107;8.444274565;7.79845565;0.1192;126.4074878;107.0476458;0.6541;77.0928912;-0.15468;-0.06627;1.983276415;2.304227711;0.05113;1.700000048;4.293311565;3.308657927;8.443885419;7.398543649;7.410744261;0.0567;0.04412;0.18126;-0.51191;0.03213;-0.20505;39.24193247;-1.736946224;169.6692756;154.9681886;0.7006;90.19888316;-0.14767;-0.06701;1.933388167;2.20367847;4.431154385;8.394315561;6.838598005;0.03625;0.40495;-0.85354;-14.98931881;Ph;xantphos
37;-0.17984;-0.05198;0.789075;162.8486811;0.7964;78.83382819;-0.0976;-0.05765;-0.39271;2.132378106;3.871466644;8.246276476;6.622969372;0.161705;110.443936;138.0291646;0.6699;91.6180534;-0.13121;-0.06088;2.005059133;2.299759348;0.033945;1.700000048;3.871113834;3.30212478;8.465721881;7.465631682;7.354959486;-0.0116;0.10926;0.179615;-0.53502;0.12907;-0.23753;40.55844735;13.58997268;149.8964017;148.4281359;0.6514;98.89410235;-0.1427;-0.06177;1.961642965;2.299701512;3.835581821;8.459826046;6.944909284;0.00815;0.405885;-0.78085;-27.68320796;t-Bu;xantphos
38;-0.19039;-0.04706;0.77505;136.7487141;0.77625;60.90606787;-0.10741;-0.05287;-0.29959;2.121914705;3.128299795;8.452105223;6.797461104;0.15713;121.730842;115.5521064;0.6531;76.8064123;-0.14391;-0.05768;1.978648097;2.297187142;0.0548;1.700000048;3.140280507;3.293929583;8.428670555;7.42245066;7.6514773;0.046;0.07497;0.20938;-0.57195;0.05145;-0.21971;44.13713388;-1.120731921;169.8019426;157.0767638;0.74155;92.59379384;-0.13944;-0.05849;1.938146949;2.180724704;3.300299312;8.374992906;6.780350234;0.0457;0.469335;-0.94857;-5.815130296;Et;xantphos
39;-0.18391;-0.04845;0.80275;146.8554478;0.77825;67.77634132;-0.10015;-0.05456;-0.35556;2.128186063;4.19689083;8.402336507;7.811709459;0.16772;123.2665593;113.1176754;0.6571;83.62253595;-0.1426;-0.05751;1.986380384;2.307145587;0.05622;1.700000048;4.631628011;3.257331555;8.445037191;7.434079368;7.315344141;0.0349;0.06535;0.20866;-0.55421;0.04347;-0.21731;45.57350306;10.56914207;162.7252661;154.1300563;0.7051;94.97596749;-0.13708;-0.05885;1.942273599;2.223326331;4.624048213;8.358029415;7.562335042;0.03225;0.450005;-0.8854;-14.63226592;Cy;xantphos
